c_elementvalue_id;ad_client_id;ad_org_id;isactive;created;createdby;updated;updatedby;value;name;description;accounttype;accountsign;isdoccontrolled;c_element_id;issummary;validfrom;validto;postactual;postbudget;postencumbrance;poststatistical;isbankaccount;c_bankaccount_id;isforeigncurrency;c_currency_id;showelement;showvaluecond;elementlevel;nomanualacct;datevuseauto
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2010-10-27 17:43:25.597216;100;2010-10-27 17:43:25.597216;100;1140;Waren;Waren;A;A;N;D871D9715A904125974B545FC0FF0681;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2010-10-27 17:43:25.597216;100;2010-10-27 17:43:25.597216;100;4839;Sonstige Erträge unregelmäßig;Sonstige Erträge unregelmäßig;R;D;N;D871D9715A904125974B545FC0FF0681;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2010-10-27 17:43:25.597216;100;2010-10-27 17:43:25.597216;100;2580;Privateinlagen;Privateinlagen;L;O;N;D871D9715A904125974B545FC0FF0681;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2010-10-27 17:43:25.597216;100;2010-10-27 17:43:25.597216;100;7340;Diskontaufwendungen;Diskontaufwendungen;E;C;N;D871D9715A904125974B545FC0FF0681;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
;C726FEC915A54A0995C568555DA5BB3C;0;Y;2010-10-27 17:43:25.597216;100;2010-10-27 17:43:25.597216;100;3801;Umsatzsteuer 7%;Umsatzsteuer 7%;L;B;N;D871D9715A904125974B545FC0FF0681;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
