Konto;Kontobeschriftung;SprachId;Kontenrahmen ID
315;Paved courtyards / other paved surfaces;en_US;D871D9715A904125974B545FC0FF0681
320;Fixtures in resi-dential buildings;en_US;D871D9715A904125974B545FC0FF0681
329;Share of building attr. to home office;en_US;D871D9715A904125974B545FC0FF0681
330;Buildings on third-party land;en_US;D871D9715A904125974B545FC0FF0681
340;Commercial buildings;en_US;D871D9715A904125974B545FC0FF0681
350;Industrial buildings;en_US;D871D9715A904125974B545FC0FF0681
360;Residential buildings;en_US;D871D9715A904125974B545FC0FF0681
370;Other buildings;en_US;D871D9715A904125974B545FC0FF0681
380;Garages;en_US;D871D9715A904125974B545FC0FF0681
390;Outdoor facilities;en_US;D871D9715A904125974B545FC0FF0681
395;Paved courtyards / other paved surfaces;en_US;D871D9715A904125974B545FC0FF0681
398;Fixtures in comm. / industrial buildings;en_US;D871D9715A904125974B545FC0FF0681
400;Technical equipment and machinery;en_US;D871D9715A904125974B545FC0FF0681
420;Technical equipment;en_US;D871D9715A904125974B545FC0FF0681
440;Machinery;en_US;D871D9715A904125974B545FC0FF0681
450;Transportation and similar systems;en_US;D871D9715A904125974B545FC0FF0681
460;Machine tools;en_US;D871D9715A904125974B545FC0FF0681
470;Operating facilities;en_US;D871D9715A904125974B545FC0FF0681
500;Operating and office equipment;en_US;D871D9715A904125974B545FC0FF0681
510;Other equipment;en_US;D871D9715A904125974B545FC0FF0681
520;Passenger cars;en_US;D871D9715A904125974B545FC0FF0681
540;Heavy goods vehicles;en_US;D871D9715A904125974B545FC0FF0681
560;Other transportation resources;en_US;D871D9715A904125974B545FC0FF0681
620;Tools;en_US;D871D9715A904125974B545FC0FF0681
630;Operating equipment;en_US;D871D9715A904125974B545FC0FF0681
635;Office equipment;en_US;D871D9715A904125974B545FC0FF0681
640;Shop fittings;en_US;D871D9715A904125974B545FC0FF0681
650;Office fittings;en_US;D871D9715A904125974B545FC0FF0681
660;Scaffolding / formwork materials;en_US;D871D9715A904125974B545FC0FF0681
670;Low-value assets;en_US;D871D9715A904125974B545FC0FF0681
675;Assets (collective item);en_US;D871D9715A904125974B545FC0FF0681
680;Leasehold improvements;en_US;D871D9715A904125974B545FC0FF0681
690;Other operating and office equipment;en_US;D871D9715A904125974B545FC0FF0681
700;Prepaymts and assets under construction;en_US;D871D9715A904125974B545FC0FF0681
705;Prepayments on land without buildgs;en_US;D871D9715A904125974B545FC0FF0681
710;Comm./industr./other buildgs udr. constr;en_US;D871D9715A904125974B545FC0FF0681
720;Prepayments on buildgs. on own land;en_US;D871D9715A904125974B545FC0FF0681
725;Residential buildgs. under construction;en_US;D871D9715A904125974B545FC0FF0681
735;Prepaym. resident. buildgs. on own land;en_US;D871D9715A904125974B545FC0FF0681
740;Comm./industr./other buildgs udr. constr;en_US;D871D9715A904125974B545FC0FF0681
750;Prepaym. buildings on 3-rd-party land;en_US;D871D9715A904125974B545FC0FF0681
755;Residential buildgs. under construction;en_US;D871D9715A904125974B545FC0FF0681
765;Prepayments on bldgs. on 3-rd-party;en_US;D871D9715A904125974B545FC0FF0681
770;Technical equipm. / machin. udr. constr.;en_US;D871D9715A904125974B545FC0FF0681
780;Prepymts on tech. equip. and machinery;en_US;D871D9715A904125974B545FC0FF0681
785;Operating / office equipm. (coll. item);en_US;D871D9715A904125974B545FC0FF0681
795;Prepayments on operat./office equ.;en_US;D871D9715A904125974B545FC0FF0681
800;Shares in affil. compan. (fixed ass.);en_US;D871D9715A904125974B545FC0FF0681
803;Shares in affiliated comp., partnerships;en_US;D871D9715A904125974B545FC0FF0681
804;Shares in affiliated comp., corporations;en_US;D871D9715A904125974B545FC0FF0681
805;Shares in majority investor, partnersh.;en_US;D871D9715A904125974B545FC0FF0681
808;Shares in parent or maj. invt., corp.;en_US;D871D9715A904125974B545FC0FF0681
809;Shares in parent or in majority investor;en_US;D871D9715A904125974B545FC0FF0681
810;Loans to affiliated companies;en_US;D871D9715A904125974B545FC0FF0681
813;Loans to affiliated comp., partnerships;en_US;D871D9715A904125974B545FC0FF0681
814;Loans to affiliated comp., corporations;en_US;D871D9715A904125974B545FC0FF0681
815;Loans to affiliated comp., sole prop.;en_US;D871D9715A904125974B545FC0FF0681
820;Other long-term equity investments;en_US;D871D9715A904125974B545FC0FF0681
829;Invsmt by GmbH & Co KG in gen prtnr GmbH;en_US;D871D9715A904125974B545FC0FF0681
830;Typical silent partnerships;en_US;D871D9715A904125974B545FC0FF0681
840;Atypical silent partnerships;en_US;D871D9715A904125974B545FC0FF0681
850;Investments in corporations;en_US;D871D9715A904125974B545FC0FF0681
860;Investments in partnerships;en_US;D871D9715A904125974B545FC0FF0681
880;Loans to long-term investees/investors;en_US;D871D9715A904125974B545FC0FF0681
883;Loans to other l-t inv., partnerships;en_US;D871D9715A904125974B545FC0FF0681
885;Loans to other l-t inv., corporations;en_US;D871D9715A904125974B545FC0FF0681
900;Long-term securities;en_US;D871D9715A904125974B545FC0FF0681
910;Secur. with profit participation rights;en_US;D871D9715A904125974B545FC0FF0681
920;Fixed-income securities;en_US;D871D9715A904125974B545FC0FF0681
930;Other loans;en_US;D871D9715A904125974B545FC0FF0681
940;Loans;en_US;D871D9715A904125974B545FC0FF0681
960;Loans to shareholders/ partners;en_US;D871D9715A904125974B545FC0FF0681
961;Loans to GmbH shareholders;en_US;D871D9715A904125974B545FC0FF0681
962;Loans to general partners;en_US;D871D9715A904125974B545FC0FF0681
963;Loans to limited partners;en_US;D871D9715A904125974B545FC0FF0681
964;Loans to silent partners;en_US;D871D9715A904125974B545FC0FF0681
970;Loans to related parties;en_US;D871D9715A904125974B545FC0FF0681
980;Long-term shares in cooperatives;en_US;D871D9715A904125974B545FC0FF0681
990;L-t pension liab. claims, life ins pol;en_US;D871D9715A904125974B545FC0FF0681
1000;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1001;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1002;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1003;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1004;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1005;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1006;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1007;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1008;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1009;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1010;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1011;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1012;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1013;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1014;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1015;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1016;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1017;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1018;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1019;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1020;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1021;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1022;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1023;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1024;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1025;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1026;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1027;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1028;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1029;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1030;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1031;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1032;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1033;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1034;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1035;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1036;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1037;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1038;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1039;Inventories raw materials/cons/suppl;en_US;D871D9715A904125974B545FC0FF0681
1040;Work in progress (inventories);en_US;D871D9715A904125974B545FC0FF0681
1041;Work in progress (inventories);en_US;D871D9715A904125974B545FC0FF0681
1042;Work in progress (inventories);en_US;D871D9715A904125974B545FC0FF0681
1043;Work in progress (inventories);en_US;D871D9715A904125974B545FC0FF0681
1044;Work in progress (inventories);en_US;D871D9715A904125974B545FC0FF0681
1045;Work in progress (inventories);en_US;D871D9715A904125974B545FC0FF0681
1046;Work in progress (inventories);en_US;D871D9715A904125974B545FC0FF0681
1047;Work in progress (inventories);en_US;D871D9715A904125974B545FC0FF0681
1048;Work in progress (inventories);en_US;D871D9715A904125974B545FC0FF0681
1049;Work in progress (inventories);en_US;D871D9715A904125974B545FC0FF0681
1050;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1051;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1052;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1053;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1054;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1055;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1056;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1057;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1058;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1059;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1060;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1061;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1062;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1063;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1064;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
