Search Key;Locator Key;Vendor Receipt Locator (Y/N);Production (Y/N);Planing Method Key;Capacity;Safety Stock;Optimal Quantity;ABC;Org Key
Suchschlüssel;Lagerort;Lagerort für Wareneingang;Produktion;Planungsmethode;Kapazität;Meldebestand;Optimaler Lagerbestand;ABC;Organisation
